job_title,job_link,company_name,company_profile_link,job_location,job_published_date,job_description
Data Scientist,https://qa.linkedin.com/jobs/view/data-scientist-at-qatar-insurance-group-4151782611?position=1&pageNum=0&refId=d0o2jGAr36g99cJVCxf8pg%3D%3D&trackingId=FzhhP8fnjg16O0iqwZFZwg%3D%3D,Qatar Insurance Group,https://qa.linkedin.com/company/qatarinsurancegroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-02-16,Description not available
Data Engineer (SQL),https://qa.linkedin.com/jobs/view/data-engineer-sql-at-hassad-food-4164098552?position=2&pageNum=0&refId=d0o2jGAr36g99cJVCxf8pg%3D%3D&trackingId=nq2%2BtDpPkuTjk4FSO9PQ1w%3D%3D,Hassad Food,https://qa.linkedin.com/company/hassad-food?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-02-24,Description not available
Graduate Computer Science / Engineering,https://qa.linkedin.com/jobs/view/graduate-computer-science-engineering-at-nakilat-4140436862?position=3&pageNum=0&refId=d0o2jGAr36g99cJVCxf8pg%3D%3D&trackingId=g%2BJDfMt3wjntY8jaPUZPcQ%3D%3D,NAKILAT,https://qa.linkedin.com/company/nakilatqatar?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-02-23,Description not available
Shell Graduate Programme 2025 - Qatar,https://qa.linkedin.com/jobs/view/shell-graduate-programme-2025-qatar-at-shell-4046464267?position=4&pageNum=0&refId=d0o2jGAr36g99cJVCxf8pg%3D%3D&trackingId=AKls%2Fbjtu7COUW6Ie5cYcw%3D%3D,Shell,https://uk.linkedin.com/company/shell?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ras Laffan, Al Khor and Al Thakhira, Qatar",2025-02-25,Description not available
Shell Graduate Programme 2025 - Qatar,https://qa.linkedin.com/jobs/view/shell-graduate-programme-2025-qatar-at-shell-4046463696?position=5&pageNum=0&refId=d0o2jGAr36g99cJVCxf8pg%3D%3D&trackingId=5VquaAKVk%2BVP67cRiOfCTw%3D%3D,Shell,https://uk.linkedin.com/company/shell?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-25,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4117462045?position=6&pageNum=0&refId=d0o2jGAr36g99cJVCxf8pg%3D%3D&trackingId=9WbAXWAMu49X3naUuh9V0g%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-03-04,Description not available
Engineer I,https://qa.linkedin.com/jobs/view/engineer-i-at-marriott-international-4174088337?position=7&pageNum=0&refId=d0o2jGAr36g99cJVCxf8pg%3D%3D&trackingId=jju7fsDd8ljsuR8iUqYJkQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer I,https://qa.linkedin.com/jobs/view/engineer-i-at-marriott-international-4174087438?position=8&pageNum=0&refId=d0o2jGAr36g99cJVCxf8pg%3D%3D&trackingId=Z7ujCBzf2CGzrtAW8jRfCQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer I,https://qa.linkedin.com/jobs/view/engineer-i-at-marriott-international-4174090132?position=9&pageNum=0&refId=d0o2jGAr36g99cJVCxf8pg%3D%3D&trackingId=dI40MLjEY8E6zai4tlK0kg%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Intern-Graduate,https://qa.linkedin.com/jobs/view/intern-graduate-at-kpmg-in-qatar-4157194881?position=10&pageNum=0&refId=d0o2jGAr36g99cJVCxf8pg%3D%3D&trackingId=T6V8zqv071eEohjE64576Q%3D%3D,KPMG in Qatar,https://qa.linkedin.com/company/kpmgqatar?trk=public_jobs_jserp-result_job-search-card-subtitle,Doha Metropolitan Area,2025-02-17,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174087427?position=1&pageNum=2&refId=W1t9ppLoIytTtDFqUtUueg%3D%3D&trackingId=DTCGXS7%2FHQlKR4wnzhEiwA%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174670978?position=2&pageNum=2&refId=W1t9ppLoIytTtDFqUtUueg%3D%3D&trackingId=RoLzyngNHShRFCbrodQ2mA%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer I,https://qa.linkedin.com/jobs/view/engineer-i-at-marriott-international-4174088332?position=3&pageNum=2&refId=W1t9ppLoIytTtDFqUtUueg%3D%3D&trackingId=jzNQ%2F42K2b15ikopyccSXA%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4117462046?position=4&pageNum=2&refId=W1t9ppLoIytTtDFqUtUueg%3D%3D&trackingId=vXi6fLUJmvPEBIWNvKmcBw%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-18,Description not available
Engineer I,https://qa.linkedin.com/jobs/view/engineer-i-at-marriott-international-4174083849?position=5&pageNum=2&refId=W1t9ppLoIytTtDFqUtUueg%3D%3D&trackingId=KbesemlkoDzyCEqwnDJWUg%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4117458581?position=6&pageNum=2&refId=W1t9ppLoIytTtDFqUtUueg%3D%3D&trackingId=dPzupKpOAtreqRZl1PlcLw%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-19,Description not available
Engineer I,https://qa.linkedin.com/jobs/view/engineer-i-at-marriott-international-4174089161?position=7&pageNum=2&refId=W1t9ppLoIytTtDFqUtUueg%3D%3D&trackingId=7mGmsjiTOH7fhry%2FMnWhnQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174673540?position=8&pageNum=2&refId=W1t9ppLoIytTtDFqUtUueg%3D%3D&trackingId=%2FF%2BZgfVyv%2BzdjPSB0TaQUQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer I,https://qa.linkedin.com/jobs/view/engineer-i-at-marriott-international-4174084850?position=9&pageNum=2&refId=W1t9ppLoIytTtDFqUtUueg%3D%3D&trackingId=dGtT2OAlfhUnLz51%2BbsknQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer I,https://qa.linkedin.com/jobs/view/engineer-i-at-marriott-international-4174089167?position=10&pageNum=2&refId=W1t9ppLoIytTtDFqUtUueg%3D%3D&trackingId=pqhfg3DB%2FX24o7JWa7zRHQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Field Engineer Trainee,https://qa.linkedin.com/jobs/view/field-engineer-trainee-at-slb-4122600978?position=1&pageNum=5&refId=0xTBROSfH765ArybJTN5XA%3D%3D&trackingId=TX56j7ABGbGc%2F7wjQzbICA%3D%3D,SLB,https://www.linkedin.com/company/slbglobal?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-02-26,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4117456855?position=2&pageNum=5&refId=0xTBROSfH765ArybJTN5XA%3D%3D&trackingId=AycL%2FpqfJfKJFonS2ef4MQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-18,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174673538?position=3&pageNum=5&refId=0xTBROSfH765ArybJTN5XA%3D%3D&trackingId=D7onKE%2Bk0gVNrtn4lxc26A%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174672605?position=4&pageNum=5&refId=0xTBROSfH765ArybJTN5XA%3D%3D&trackingId=Jc9wtGSamU6ZyiYRYdbKTA%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174675381?position=5&pageNum=5&refId=0xTBROSfH765ArybJTN5XA%3D%3D&trackingId=v2a3d6pI8XK%2Fq4xW%2FH0cvw%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer I,https://qa.linkedin.com/jobs/view/engineer-i-at-marriott-international-4174085818?position=6&pageNum=5&refId=0xTBROSfH765ArybJTN5XA%3D%3D&trackingId=WuH9CLeH2GWnPe7aJaZyxQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Sales Engineer - Power Systems,https://qa.linkedin.com/jobs/view/sales-engineer-power-systems-at-al-bahar-4172218408?position=7&pageNum=5&refId=0xTBROSfH765ArybJTN5XA%3D%3D&trackingId=os%2F5ljvf5kxjXuvLndzzNg%3D%3D,Al-Bahar,https://ae.linkedin.com/company/al-bahar?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-03-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4117460299?position=8&pageNum=5&refId=0xTBROSfH765ArybJTN5XA%3D%3D&trackingId=09Q40RBcYR48SMqSOdJZdQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-19,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4117459485?position=9&pageNum=5&refId=0xTBROSfH765ArybJTN5XA%3D%3D&trackingId=3LIjsH1%2FJr%2F3MOVIak4xxw%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-15,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174671632?position=10&pageNum=5&refId=0xTBROSfH765ArybJTN5XA%3D%3D&trackingId=2FUdF9Ui6TlbJE5jbGon0w%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174089149?position=1&pageNum=7&refId=PxWw0pWWjfyu9GNE1sRnWA%3D%3D&trackingId=5IRHUI1LqjNXZJ6K23iPjQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Field Engineer Trainee,https://qa.linkedin.com/jobs/view/field-engineer-trainee-at-slb-4122608023?position=2&pageNum=7&refId=PxWw0pWWjfyu9GNE1sRnWA%3D%3D&trackingId=NlEDS70yCAR8AnXTcd%2BX4w%3D%3D,SLB,https://www.linkedin.com/company/slbglobal?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-02-15,Description not available
Software Developer (Frontend),https://qa.linkedin.com/jobs/view/software-developer-frontend-at-qatar-living%C2%AE-4173572390?position=3&pageNum=7&refId=PxWw0pWWjfyu9GNE1sRnWA%3D%3D&trackingId=9MsGEK8c4E5hva30u8KOjg%3D%3D,Qatar Living®,https://qa.linkedin.com/company/qatarliving-com?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-03-04,Description not available
"Python Software Engineer, Commercial Systems",https://qa.linkedin.com/jobs/view/python-software-engineer-commercial-systems-at-canonical-4160335229?position=4&pageNum=7&refId=PxWw0pWWjfyu9GNE1sRnWA%3D%3D&trackingId=4iH6UALhOOji2au4ef8qsQ%3D%3D,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-20,Description not available
Field Engineer Trainee,https://qa.linkedin.com/jobs/view/field-engineer-trainee-at-slb-4122601969?position=5&pageNum=7&refId=PxWw0pWWjfyu9GNE1sRnWA%3D%3D&trackingId=Dj84C%2BPnvWA00BnKTNwZDQ%3D%3D,SLB,https://www.linkedin.com/company/slbglobal?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-02-15,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174084837?position=6&pageNum=7&refId=PxWw0pWWjfyu9GNE1sRnWA%3D%3D&trackingId=tK%2F4chBXNB8E4Xp9yPf1Dg%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4117454996?position=7&pageNum=7&refId=PxWw0pWWjfyu9GNE1sRnWA%3D%3D&trackingId=HKxnAtNUHYwylpz2G6I8lA%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-15,Description not available
QA/QC Engineer - Oil & Gas (Tanks Experience),https://qa.linkedin.com/jobs/view/qa-qc-engineer-oil-gas-tanks-experience-at-butec-4157802784?position=8&pageNum=7&refId=PxWw0pWWjfyu9GNE1sRnWA%3D%3D&trackingId=MyRJAlWIpsk5T0GmsbOjXQ%3D%3D,BUTEC,https://ae.linkedin.com/company/butec?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ras Laffan, Al Khor and Al Thakhira, Qatar",2025-02-18,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174675380?position=9&pageNum=7&refId=PxWw0pWWjfyu9GNE1sRnWA%3D%3D&trackingId=B459y7YaTQ2qwhhUHqke7g%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Senior Proposal Engineer,https://qa.linkedin.com/jobs/view/senior-proposal-engineer-at-descon-engineering-limited-4160479120?position=10&pageNum=7&refId=PxWw0pWWjfyu9GNE1sRnWA%3D%3D&trackingId=zU88imZFZfxKZx6LcE8epw%3D%3D,Descon Engineering Limited,https://pk.linkedin.com/company/fake-page1?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-02-22,Description not available
Data Analysis And Research Specialist,https://qa.linkedin.com/jobs/view/data-analysis-and-research-specialist-at-university-of-doha-for-science-technology-4123888613?position=1&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=qIdjbc%2F9wIgZDGGTqNF1ig%3D%3D,University of Doha for Science & Technology,https://qa.linkedin.com/school/university-of-doha-for-science-and-technology/?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Qatar",2025-02-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174670975?position=2&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=aZ0z0XijgEdtI0QKhYI9RA%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174086644?position=3&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=chuPLoE1g%2BIbmQy6X9WAvQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Business Analyst,https://qa.linkedin.com/jobs/view/business-analyst-at-virtusa-4143786995?position=4&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=qnfwTHq10rd3NML0cvpnaQ%3D%3D,Virtusa,https://www.linkedin.com/company/virtusa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-28,Description not available
Engineer,https://qa.linkedin.com/jobs/view/engineer-at-marriott-international-4174084835?position=5&pageNum=10&refId=fNgQwQF0%2Fij%2B%2Fkiat1YXFQ%3D%3D&trackingId=0UjqwPOD%2BKyoEMGj%2FnMLcw%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
